Dataset 0,,Wet tissues,
X,Y,X,Y
0.13736437665766055,496.0790762334705,0.11641826610536053,60.4832505277611
0.22436613480405448,378.7433972807881,0.1563515218011653,53.61154988716744
0.4333400062082466,280.34744100892874,0.25560563419144333,43.849410756168425
0.8044142464968104,205.55204489981588,0.43903141620293007,35.849720063395026
1.4629108794927432,142.0961004164303,0.8407771454134862,29.57177188519508
2.7394605633851103,95.34839353326234,1.3087521084910294,24.922134793597614
4.3416423943188756,70.004416517932,1.9575070960537801,20.399557422012073
6.29855254903646,53.50073417810108,2.3804032150697836,17.39877342767044
9.684574531152675,37.40388100367783,3.038571458914709,13.845922285517196
8.039048809153098,42.1589673643697,3.5549726806907667,12.65545397900587
7.013756823498799,48.921410826688316,4.234094662303828,9.978487111300776
9.132872493048783,39.30989712636832,4.668519071808626,9.125162568448378
5.3320302625105525,59.70169330023724,5.146212034371934,8.182206801204272
4.882028969065154,63.3803975455498,5.34894393397739,7.635060803383346
3.3660741571313215,84.57981392208015,5.726213250673508,7.052960943054165
7.738278683675183,46.99374465967631,5.9517939461639635,6.58132786819576
8.695920906555216,40.50460501024739,6.369969075309457,5.96110041764343
3.713319548839117,80.45161583355224,6.8209808616371665,5.616056712133126
4.092755917232627,71.43179747522977,7.021758079963215,5.345105472263086
5.766250242963231,56.24125686307574,7.8200733649572385,4.935924914859811
5.996445986039731,54.586996849318275,7.966056784839244,4.472649309254614
6.173734877230839,52.46709641165169,8.366334246839783,4.340725805982805
7.2202084488005935,46.56115743198063,8.78449883217993,4.130606185775207
7.884732644007949,43.42925943157371,9.040781764154177,3.854717163742852
9.046510132235824,40.49092403196114,9.677216118678375,3.5259687786719245
9.496264813935788,37.78009603247584,9.96459167464286,3.4225462461120304
9.972168603253378,36.306762922437684,4.195650419971803,10.586187536339986
10.06991879368972,35.94825526415209,3.9964329886784133,11.234692229659753
10.574571160271223,34.546359549454856,3.8430151368998753,11.575159798771496
4.88450347077345,65.92453802057356,2.6776997855162747,16.224348017918476
4.650810123755599,67.9281190795897,2.783186143339284,15.139422239221298
4.428858585494422,70.68465089038146,3.040111587069113,14.401708816759799
3.898918006127899,76.55722956738126,3.318651953193245,13.04228180573961
3.2997870627181065,83.76585932344456,1.4441292815379454,24.176829872535656
2.712868214702861,96.29929167938151,1.7228425871164998,21.663856425357192
2.166843096864818,117.47011035998597,1.863852462000351,21.019541544620576
2.3665719805852934,110.65194874514205,2.076019909050214,19.602368030752807
2.740849084405134,99.17575525093113,2.2238529876995194,19.02097119106529
3.236854959017073,87.14300684746806,,
3.268997682358668,87.13564748289845,,
2.9640532631626977,93.4273186793344,,
2.822241606777902,96.2667652908854,,
1.5993748558343728,144.80985613098332,,
1.852083878405625,128.52024286237892,,
2.0626503565418197,118.68171210093318,,
2.2311898813132314,114.0245165172363,,
2.6359653717562006,103.19160472733452,,
2.7680663539326646,99.16737970175333,,
0.8960964432048618,193.58875863623382,,
0.9979751293248729,178.76907798131796,,
1.238738836120597,161.71679847676813,,
1.3014773660752006,161.64852381424294,,
1.3799226827987303,152.30475708963172,,
1.5213120661860335,137.91653704710416,,
1.5818442944576456,132.54931696605755,,
1.8160714144318473,129.81292280820708,,
1.8341054263915268,129.80195990183796,,
