x,Curve1
-13.635,-0.8013
-12.495,-0.7041
-10.934,-0.55076
-9.958,-0.39525
-8.987,-0.21814
-8.453,-0.04968
-7.204,0.17279
-6.524,0.34341
-5.28,0.58315
-3.887,0.8121
-2.471,0.96328
-0.875,0.99568
0.609,0.91577
1.811,0.79698
2.577,0.67387
3.346,0.53996
4.421,0.35853
5.785,0.1879
6.843,0.06263
7.742,-0.01512
8.495,-0.09503
9.965,-0.13175
10.988,-0.13391
11.714,-0.11879
12.292,-0.10151
12.727,-0.08855
13.745,-0.07775
14.763,-0.06263
15.643,-0.07775
17.404,-0.11015
18.435,-0.13823
19.909,-0.1879
21.68,-0.2527
24.482,-0.35205
26.83,-0.39309
29.314,-0.40173
30.926,-0.42117
31.956,-0.44924
33.136,-0.49028
35.348,-0.56587
37.562,-0.65011
40.209,-0.7149
45.192,-0.78186
48.27,-0.82505
49.59,-0.84665
51.798,-0.90929
55.457,-0.93952
59.987,-0.9568
64.512,-0.95464
67.721,-0.946
70.944,-0.98272
74.75,-1.01728
78.692,-1.01944
81.165,-0.99136
83.485,-0.93737
86.221,-0.80562
88.484,-0.5594
91.137,-0.14471
91.836,-0.03672
92.238,0.08423
93.06,0.26782
93.73,0.47516
94.435,0.56156
94.997,0.63499
95.41,0.72138
96.259,0.8121
96.815,0.90929
98.543,0.9892
99.415,1.00216
